Charge Code Description,Rate
"IGE RAGWEED, GIANT",49.5
IGE COCKLEBUR,0
"IGE CEDAR, MOUNTAIN",49.5
"IGE OAK, WHITE",49.5
"IGE HICKORY, WHITE",49.5
"IGE ELM, AMERICAN",49.5
"IGE OAK, RED",49.5
NORTRIPTYLINE (AVETYL),59.67
"URIC ACID,BODY FLUID",20.75
ANCA PANEL,363.7
"EPSTEIN-BARR VIRUS, PCR",213
ALPHA-1-ANTITRYPSIN PHENOTYPE,79.2
"IMMUNOGLOBULINS A/E/G/M, SERUM",45
IGG SUBCLASSES(1-4),67
"LIVER-KIDNEY MICROSOMAL, AB ANTIBODY",48.5
PRO-PREDICTOR TEST/PROMETHEUS FIBR II,346.5
"IMMUNO FIXATION, URINE",123.75
PTH INTACT+CALCIUM,120
"CRYPTOSPORIDIUM DETECTION, STOOL",294
"GIARDIA, EIA, O&P",115.53
STREP GRP B CULT/DNA PROBE,78.11
"AFP,OPEN SPINABIFIDA, SERUM",36.72
"FREE K+L LT CHAINS,QN,URINE",180
CARMINE DYE/RED DYE IGA,210
CARMINE DYE/RED DYE IGG,127.5
CARMINE DYE/RED DYE/IGE,123.5
"PUMPKIN SEED, IGE",187.5
PUMKIN IGE,110
IGF-1,148.9
"CARNITINE, TOTAL AND FREE",94.6
"SERTRALINE,SERUM/PLASMA",301.5
HLA-B27,78.75
Gliadin IGG/IGA Ab Prof EIA,111.6
Pro BNP,134.51
Cortisone (CompoundE),259.88
"Cortisol,AM",133
"Cortisol,PM",133
N-telopeptide,252.75
"ALP, Bone Specific",185.25
TOBRAMYCIN TROUGH,43.52
"Free K+L Lt Chains Qn, Serum",90
Sjogren's Antibod (Anti ss-A/Anti ss-B),60
Lead Health Steps,66.15
Hemoglobin Health Steps,28.12
Free Androgen Index (FAI),153.2
West Nile Virus Ab Panel,123.31
Blood Lead Level Pediatric Age0-16 y/o,66.15
"HIV-1, RNA(bDNA)",366.24
"Chalmydia trachomatis, NAA",67.5
"Neisseria gonorrheae, NAA",137
HCV Ab w/reflex to quant(PCR),30
Opiates GC/MS Confirmation Quantificatn,184
CD4 Helper T-lymphocyte Marker,142
Alpha2-Macro Globulin,63
"chlamydia, Conjunctiva, NAA",84
Blood Culture Anaerobic,81.04
Blood Culture Anaerobic,81.04
BILE ACIDS,25.31
METAL/METALLOIDS HAIR,823.44
"VITAMIN A, SERUM",34.95
TSH RFX ON ABNORMAL TO FR,138
"ZINC,PLASMA OR SERUM",28.25
QUANTIFERON TB GOLD,60
"LACTIC ACID, PLASMA",5
HCV RNA bDNA Quantitative,336
B.PERTUSSIS NASO PHARYNGEAL CULTURE,111.1
WHEAT,21.1
ALMOND,21.1
PECAN NUTS,21.1
WALNUTS,21.1
SHRIMP,21.1
SALMON,21.1
CLAMS,21.1
ANTINUCLEAR ANTIBODIES W/REFLEX,28
CHRONIC URTICARIA INDEX,391.3
THYROTROPIN RECEPTOR ANTIBODY,59.67
Smith Antibodies,93.75
CREATINE 24 HR URINE,14.77
JAK2Exon12 Mutation Analysis by PCR,703.13
BCR-ABL1,664.06
FIBRINOGEN AG,94.51
MMP-9,128
"CALCIUM, RANDOM URINE",10.42
THYROID STIMULATING IMMUNOGLOBULIN (TSI),239.11
"AMYLASE, BODY FLUID",88.28
LACTIC ACID DEHYDROGENASE BODY FLUID,62.94
"BILIRUBIN, BODY FLUID",52
"CYCLOSPORA,SMEAR, STOOL",21.72
"COPPER, SERUM",93.75
REVERSE T-3 SERUM,70.65
DRUG PROFILE 9 PANEL,39.06
H. Pylori Urea Breath Test,312.5
EBV PANEL,79.7
HIV GenoSure (R)MG,790
Haloperidol    (Haldol),57.45
HNK1 (CD57) Panel,103.48
Antiribosomal P. Antibodies,209.04
Fructosamine,11.94
DHEA,107.06
17-hydroxyprogesterone,61.74
LUPUS anti coagulant w/reflex,255.32
Beta 2 Glyco protien I antibodies,86.17
DRUG ABUSE PANEL (10 DRUGS) SERUM,285.64
"SENSITIVITY TESTING, ANEROBIC CULTURE",89.29
RESPIRATORY VIRUS PROFILE (RVP) PCR,767.37
"C-telopeptide, SERUM",273.91
"COTININE,SCREEN ONLY",121.81
HEMOGLOBIN A1C WITH eAG,22.51
TIAGABINE OR GABITRIL,171.26
MTHFR VARIANT DNA ANALYSIS,265.95
"KETONES, URINE",108.61
SEX HORMONE BINDING GLOBULIN,43.36
INSULIN LIKE GROWTH FACT BP3,125.54
VRE CULTURE,16.76
"HEP B VIRUS (HBV), QUAL,PCR",239.49
LYME DISEASE ANTIBODIES IGm,51.35
ALLERGEN PROFILE REG 7,766.3
MAC SUSCEPTABILITY,88.29
"GLUCOSE, CSF",38.59
"CELL COUNT, CSF",98
CSF CULTURE,81.04
"PROTEIN, CSF",14.67
"VARICELL ZOSTER ABS, IgM",41.96
"IMMUNOGLOBULIN A, QUANT",19.53
NICOTINE COTININE SCREEN W/CONFIRMATION,52.17
"H PYLORI AB, IGA",31.88
"H PYLORI AB, IGM",31.88
LUPUS (SLE) ANALYSIS,"1,758.70"
SEMEN ANALYSIS,50
CBC AUTOMATED W/O DIFF,44.1
HCV RNA NAA Qualitative,251.63
25 HYDROXY VITAMIN D (FRACTIONATED),178.5
FACTOR X ACTIVITY,172
"Platelet Antibody Profile, Serum",817.63
"Estrogen Fractionated, Serum",507.6
LACOSAMIDE,382.6
TPMT ENZYME ACTIVITY,137.97
FACTOR II DNA ANALYSIS,380.43
"Mercury, Serum or Plasma",128.26
"GM1, IgG and IgM",405.98
"PROTHROMBIN ABS, IgG",177.35
"ANTIPHOSPHATIDYOSERINE IgA, IgG and IgM",435
HYDROCODONE AND METABOLITES,204.81
TITANIUM SERUM OR PLASMA,108.12
COBALT PLASMA,148.94
CLOBAZAM SERUM OR PLASMA,155.98
"PHENYTOIN, FREE",49.02
vonWILLEBRAND DISEASE PROFILE,"1,282.61"
GASTRIC OCCULT BLOOD AND PH,36.11
PNEUMOCOCCAL ANTIBODY  7 SEROTYPES,297.83
TETANUS/DIPHTHERIA AB PROFILE,78.91
"EBV ABS TO VIRAL CAPSID ANTIGEN, Igg",36.22
HEPATITIS C VIRUS (HCV) FIBROSURE,347.83
CARBOHYDRATE DEFICIENT TRANSFERRIN,297.83
Antihistone Antibodies,51.84
"T3, TOTAL",110.12
"Myelin Basic Protien, CSF",117
Oligclonal Banding,125.04
"Protien Electrophoresis, CSF",174.32
ALLERGEN PROFILE W/ TOT IGE RESP AREA 10,"1,394.60"
"H.PYLORI ABS, IGA, IGG,IGM",115.5
"Lead, Urine",70
Multiple Sclerosis Profile,125.04
"Crytoccocus Antigen, CSF",65.83
"VDRL, CSF",53.58
VASCULAR ENDOTHELIAL GROWTH FACTOR,128
"PROTEIN ELECTROPH, SERUM W REFLEX IFE",46
"HIV-1, QUAL,RNA",226
T AND B LYMPHOCYTE PROFILE,443
"IMMUNOGLOBULIN M, QUANT",77.45
VENLAFAXINE QUANTATIVE ANALYSIS,135.52
"Amikacin, Trough",113.22
"Amikacin, Peak",113.22
"EBV, Qualitative, PCR",217.33
"Pregnancy Test, Serum (Qual)",61.47
CORTICOSTEROID-BINDING GLOBULIN,102
"CLOSTRIDIUM DIFFICILE,PCR",175
"ANTIDIURETIC HORMONE, ADH, PLASMA",148.65
SODIUM FRACTIONAL EXCRETION,48
LIPOPROTEIN (A),79
APOLIPOPROTEIN B,74
LDL-P,122
HIV-1 AG W/HIV-1 & HIV-2 AB,103.76
ASSAY OF METANEPHRINES,159.1
NF AGT DRUG SC PHEXYP PREDICT (HCV),375.86
LACTOFERRIN FECAL,168
DETECT AGENT NOS DNA AMP,217.33
RIA NONANTIBODY,171.4
PROCALCITONIN (PCT),206.12
C-REACTIVE PROTEIN HS,100.91
THYROXINE BINDING GLOBULIN,90
ASSAY OF THYROGLOBULIN,105
NEUTRALIZATION TEST VIRAL,120
LEPTOSPIRA ANTIBODY,89.03
ISLET CELL ANTIBODY,128
INSULIN ANTIBODIES,132
MASS SPECTROMETRY QUAL/QUAN,142
CHEMILUMINESCENT ASSAY,106
ASSAY FOR CALPROTECTIN FECAL,240
BENZODIAZEPINES1-12,120
DRUG SCREENING OXYCODONE,78
CANNABINOIDS NATURAL,94.32
B-TYPE NATRIURETIC PEPTIDE (BNP),227.7
DIPROPYLACETIC ACID FREE,93
"ASSAY OF ALDOSTERONE, 24 HR URINE",210.4
HEXAGNAL PHOSPH PLTLT NEUTRL,110.44
THROMBOPLASTIN TIME PARTIAL,75
PHOSPHOLIPID PLTLT NEUTRALIZ,108.68
"PHENOBARBITAL, FREE/UNBOUND",123
DRUG SCREENING FENTANYL,78
HUMAN EPIDIDYMIS PROTEIN 4,246
TRICYCLIC & CYCLICALS 6/MORE,50
SKELETAL MUSCLE RELAXANT 1/2,58.28
DNA ANTIBODY 2 STRAND,57
ADMINISTRATION BLD/BLD COMPONETS,100
PLASMA FRESH FROZEN UNIT 1,188.51
PRBCS LEUKO RED  PER UNIT,352.03
CROSSMATCH UNIT 1,127.18
INCUBATION TECHNIQ (CROSS,19.85
"PLATLET, PHERESIS,LEUKORE #1","1,090.91"
CRYOPRECIPITATE,147
CROSSMATCH UNIT #2,66.15
CROSSMATCH UNIT #3,127.18
CROSSMATCH UNIT #4,127.18
CROSSMATCH #5,127.18
PLATELET CONCENTRATE #2,"1,090.91"
FRESH FROZEN PLASMA #2,188.51
FRESH FROZEN PLASMA #3,188.51
FRESH FROZEN PLASMA #4,188.51
CROSSMATCH UNIT #6,127.18
ANTIGEN SCREEN,78.09
AMIODARONE HCL INJ [900MG,34
ACETAMIN/ COD TAB [30 MG],3
ACETAMINOPHEN DRP [80 MG/,8.25
ACETAMINOPHEN CHILD SUP [,3
ACETAMINIPHEN SUPP [650MG,3
ACETAMINOPHEN LIQ [160 MG,3
ACETAMINOPHEN TAB [325 MG,3
ACETAMINOPHEN TAB [500 MG,3
ACETAZOLAMIDE TAB ER[500,11
ACETYLCYSTEINE SOL 20% [2 INJ,31.75
ACYCLOVIR INJ (500MG),15.25
"INJECTION, ADENOSINE, 1MG",11.5
ALBUTEROL LIQ [2 MG/5ML -,3
ALBUTEROL MDI,78.75
ALBUTEROL TAB [2 MG],3
ALBUTEROL/ IPRATROPIUM MD,404
ALLOPURINOL TAB [100 MG],3
ALPRAZOLAM TAB [0.25MG],3
AMIODARONE INJ AMP  [50 M,5
AMIODARONE TAB [200 MG],3
AMITRIPTYLINE TAB [25 MG],3
AMLODIPINE/ BENAZ CAP [5-,3
AMLODIPINE/ BENAZ CAP  [5,9
AMLODIPINE TAB  [5 MG],3
AMOXICIL/ POT CLAV SUS [2,113
AMOXICIL/ POT CLAV TAB [5,3.5
AMOXICIL/ POT CLAV XR TAB,16
AMOXICILLIN CAP [250 MG],3
AMOXICILLIN SUS [250 MG/5,10.75
AMPICILLIN INJ [250 MG],5.75
AMPICILLIN/ SULB INJ [1.5,6.5
AMPICILLIN/ SULB INJ [3 G,23
ANTIPY/ BENZO/ PE  DRP,17.5
ARIPIPRAZOLE TAB [5 MG],3
ARTIFICIAL TEARS DRP,5
ASPIRIN EC TAB [325 MG],3
ASPIRIN EC TAB [81 MG],3
ASPIRIN TAB [325 MG],3
ASPIRIN CHEW TAB [81 MG],3
ATENOLOL TAB [25 MG],3
ATROPINE INJ [0.4 MG/0.5M,3.5
ATROPINE INJ SYR [1MG/10,19.25
AZITHROMYCIN INJ [500 MG],10.25
AZITHROMYCIN SUS [100 MG/,47.5
AZITHROMYCIN SUS [200 MG/,47.5
AZITHROMYCIN TAB [250 MG],5
BELLADONNA/PB ELX  [10 ML,104
BENZONATATE CAP [100 MG],3
BETHANECHOL TAB [25 MG],3
BISACODYL SUPP [10 MG],3
BISACODYL TAB [5 MG],3
BUMETANIDE TAB [1 MG],3
BUPIVACAINE  INJ 10ML [0.,8
BUPROPION SR TAB [150 MG],3
BUSPIRONE TAB [10 MG],3
CALCIUM CL 10% INJ [10 ML,35
CALCIUM GLUC 10% [10 ML],40.5
CAPTOPRIL TAB [12.5 MG],3
CARBAMAZEPINE TAB [200 MG,3
CARBIDOPA/ LEVO TAB [25-1,3
CARVEDILOL TAB [12.5 MG],3
CARVEDILOL TAB [3.125 MG],3
CARVEDILOL TAB [6.25 MG],3
CEFADROXIL CAP [500 MG],3
CEFAZOLIN INJ [1GM],4.25
CEFOTAXIME INJ [1 GM],7.25
CEFTAZIDIME INJ [1 GM],14.5
CEFTRIAXONE INJ [1 GM],6.25
CEFTRIAXONE INJ [250 MG],3
CEFTRIAXONE INJ [2 GM],11.25
CEFTRIAXONE INJ [500 MG],4
CELECOXIB CAP [100 MG],4.5
CEPHALEXIN CAP [250 MG],3
CETIRIZINE TAB [10 MG],3
CHLORDIAZEPOXIDE CAP [25,3
CIPROFLOXACIN TAB [500 MG,3
CIPROFLOXACIN/ D5W PREMIX 400MG,16.75
CITALOPRAM TAB [20 MG],3
CLINDAMYCIN INJ [150 MG/M,5
CLONAZEPAM TAB [1 MG],3
CLONIDINE PAT [0.1 MG],59.5
CLONIDINE TAB [0.1 MG],3
CLOPIDOGREL TAB [75 MG],3
CLOTRIMAZ/ BETAMETH CRM [,62
CLOTRIMAZ/ BETAMETH LOTIO,169
CLOTRIMAZOLE 1% CRM,4.5
COLCHICINE TAB [0.6 MG],3
CYCLOBENZAPRINE TAB [10 M,3
DEXAMETHASONE INJ [4 MG/M,3
DEXAMETHASONE TAB [4 MG],4.25
DEXTROSE 50% INJ SYR [50M,33.25
DIAZEPAM INJ SYR [10 MG/2,118
DIAZEPAM TAB [5 MG],3
DICYCLOMINE CAP [10 MG],3
DIGOXIN INJ [0.25 MG/ML],31.5
DIGOXIN TAB [0.125 MG],5
DILTIAZEM CD CAP [120 MG],3
DILTIAZEM CD CAP [180 MG],3
DILTIAZEM INJ [50 MG/10 M,9
DILTIAZEM TAB [30 MG],3
DIPHENHYDRAMINE 50 MG INJ,3
DIPHENHYDRAMINE ELIX [12.,3
DIPHENHYDRAMINE CAP [25MG,3
DIPHENOXY/ ATR TAB [2.5MG,3
DIVALPR/ VALPROIC ACID TA,3
DOBUTAMINE 250MG/250ML  PREMIX,23
DOCUSATE CAP [100 MG],3
DOCUSATE SYR [100 MG/25ML,3
DONEPEZIL TAB  [5 MG],3
DOPAMINE/ D5W PREMIX [400,42.5
DOXAZOSIN TAB [4 MG],3
DOXEPIN CAP [25 MG],3
DOXYCYCLINE INJ [100 MG],82
DOXYCYCLINE TAB [100 MG],3
DROPERIDOL INJ [2.5 MG/ML,14
DULOXETINE CAP [60MG],15.5
DUTASTERIDE CAP [0.5 MG],14.75
AQUAPHOR[EMOLLIENT OIN],8.75
IRR- SOD CL 0.9% [1000ML],5
ENALAPRIL TAB  [5 MG],3
ENOXAPARIN INJ SYR [30 MG,11.75
ENOXAPARIN INJ SYR [40 MG,15.75
ENOXAPARIN INJ SYR [60 MG,27.75
ENOXAPARIN INJ SYR [80 MG,33.75
EPHEDRINE INJ [50 MG/ML],105
EPINEPHRINE INJ [1MG/ML],40.75
EPINEPHRINE INJ SYR [1 MG,19
EPOETIN ALFA NON-ESRD INJ [1000U],224
EPOETIN ALFA NON-ERSD INJ [20000 U,407
EPOETIN ALFA NON-ESRD INJ [1000U],805
EPOETIN ALFA NON-ESRD INJ [1000U],183
ERYTHROMYCIN TAB EES [400,3
ESCITALOPRAM TAB [10 MG],3
CLI ESTRADIOL CYP INJ [5,165
ESTROGEN CONJ TAB [0.625,8.25
ETOMIDATE INJ [2 MG/ML],19.5
IRR- SOD CL 0.9% [500ML],5
FELODIPINE TAB  [5 MG],5.5
FENOFIBRATE TAB [145 MG],16.25
FENTANYL INJ LL [100MCG/2,7
FENTANYL PAT [25 MCG/HR],7
FENTANYL PAT [50 MCG/HR],11.25
FERROUS SULF TAB [325 MG],3
FINASTERIDE TAB [5 MG],3
FLAVOXATE TAB [100 MG],4
FLUCONAZOLE TAB [100 MG],3
FLUMAZENIL INJ [0.1 MG/ML,16.5
FLUOXETINE CAP [10 MG],3
FLUTICASONE NAS SPR,25.25
FLUTICAS/ SALMET MDI [250,200
FOLIC ACID INJ [5 MG/ML],19.75
FOLIC ACID TAB [1 MG],3
FOSPHENYTOIN INJ [50 MG/M,46.25
FUROSEMIDE INJ [40 MG/4ML,25.5
FUROSEMIDE TAB [20 MG],3
FUROSEMIDE TAB [40 MG],3
GABAPENTIN CAP [100 MG],3.25
GABAPENTIN CAP [300 MG],3
GATIFLOXACIN EYE DRP,159
GENTAMICIN 0.3% EYE DRP,15.25
GENTAMICIN 0.3% EYE OIN,45
GENTAMICIN INJ [40MG/ML],5.75
GLIPIZIDE TAB [5 MG],3
GLUCAGON EMERG KIT [1 MG] INJ,459
GLYCERIN SUP ADULT,3
GLYCERIN SUP CHILD,3
GLYCOPYRROLATE INJ [0.2 M,27.75
GUAIFEN/ DM TAB [600-30 M,3
GUAIFENESIN SYR [100 MG/5,3
GUAIFENESIN ERTAB [600 MG,3
HALOPERIDOL INJ [5 MG/ML],24.5
HALOPERIDOL TAB [1 MG],3
HEPARIN INJ 3ML [100 UNT/,3
"HEPARIN INJ [5,000 UNT/ML",4
HEPARIN 1/2 NS PREMIX [50,14.5
HETASTARCH/ NS INJ PREMIX,50.5
HYDRALAZINE INJ [20 MG/ML,18
HYDRALAZINE TAB [25 MG],3
HYDROCHLOROTHIAZIDE TAB [,3
HYDROCOD/ ACET LIQ [7.5MG,3
HYDROCOD/ ACET TAB [5-500,6
HYDROCOD/ ACET TAB [7.5-325),3
HYDROCORTISONE 1% CRM,5.25
HYDROCORTISONE INJ [250 M,84
HYDROCORTISONE SUPP [25 M,12.75
HYDROCORTISONE TAB [20 MG,5.5
HYDROXYZINE TAB [25 MG],3
HYOSCYAMINE INJ [0.5 MG/M,130
IBUPROFEN 100MG/5ML,3
IBUPROFEN TAB [600 MG],3
INS- ISOPHANE/REGULAR 70/,0.5
INS- GLARGINE INJ [100 UN,1
INS- LISPRO INJ [100 UNT/,0.25
INS- NPH HUMAN INJ [100 U,0.25
INS- REG HUMAN INJ [100 U,0.25
IRON SUCROSE INJ [20 MG/M,122
ISOSORBIDE MONO ER TAB [3,3
KETAMINE INJ [50MG/ML],12.25
KETOROLAC INJ [30 MG/ML],5
LABETALOL INJ [5MG/ML],12
LABETALOL TAB [100 MG],3
LACTULOSE LIQ [10 GM/15ML,4.25
LATANOPROST 0.005%  DROP,209
LEVOTHYROXINE INJ [200 MC,44
LEVOTHYROXINE TAB [100 MC,3
LEVOTHYROXINE TAB [125 MC,3
LEVOTHYROXINE TAB [25 MCG,3
LEVOTHYROXINE TAB [88 MCG,3
LIDOCAINE 1% INJ,4.5
LIDOCAIN D5W  PREMIX  [2,26.25
LIDOCAINE 2% INJ,160
LIDOCAINE 2% VISCOUS [15M,3
LIDOCAINE INJ SYR [100 MG,11.25
LIDOCAINE/ EPI 1% INJ [10,16
LIDOCAINE/ EPI 2% INJ,9.25
LINCOMYCIN INJ [300 MG/ML,66.5
LISINOPRIL TAB [10 MG],3
LISINOPRIL/ HCTZ TAB [20-,3
LISINOPRIL/ HCTZ TAB [10-,3
LOPERAMIDE CAP [2 MG],3
LORATADINE TAB [10 MG],3
LORAZEPAM INJ [2 MG/ML],7.25
LORAZEPAM TAB [1 MG],3
LOSARTAN TAB [25 MG],3
MAG HYD/ AL HYD/ SIM SUS[,5.5
MAGNESIUM CITRATE SOL [10,5.75
MAGNESIUM HYDROX SUS 30ML,4.5
MAGNESIUM OXIDE TAB [400,3
MAGNESIUM SULF INJ [1 GM/,7
MAGNESIUM TABSR [64 MG],3
MANNITOL 25% INJ  [12.5 G,16.25
MECLIZINE TAB [12.5 MG],3
MEDROXYPROGESTERONE TAB [,22.25
MEGESTROL SUS [40 MG/ML -,10
MELOXICAN TAB [7.5MG],3
MEMANTINE TAB [10 MG],29.5
MEPERIDINE INJ [25 MG/ML],9
MEPERIDINE INJ [50 MG/ML],15.25
MEPERIDINE INJ [75 MG/ML],11.25
METFORMIN ER TAB [500 MG],3
METFORMIN TAB  [500 MG],3
METHOCARBAMOL TAB [500 MG,3
METHYLENE BLUE 1% 10MG INJ,60
METHYLPREDNISOLONE 125 MG INJ,42.25
METHYLPREDNISOLONE 1GM INJ,42.25
METOCLOPRAMIDE INJ [10 MG,4.75
METOCLOPRAMIDE TAB [10 MG,3
METOLAZONE TAB [5 MG],6
METOPROLOL INJ [5 MG/5ML],4.5
METOPROLOL SUCC ER TAB [5,3
METOPROLOL TAR TAB [50 MG,3
METRONIDAZOLE TAB [250 MG,3
METRONIDAZOLE TAB [500 MG,3
METRONIDAZOLE/ SOD CL PRE INJ,5.25
MICONAZOLE 2% CRM,4.5
MIDAZOLAM  INJ  [5 MG/ML],3
MINERAL OIL ENEMA,5.75
MONTELUKAST TAB [10 MG],3
MORPHINE INJ [10 MG/ML],19.75
MORPHINE INJ  [2 MG/ML],7.75
MORPHINE INJ  [4 MG/ML],8
MOXIFLOXACIN TAB [400 MG],71
MOXIFLOXACIN/ NACL 400MG PREMIX INJ,130
CENTRUM MULTVIT,3
MULTIVIT/ FE/ MIN LIQ [15,3
MULTIVITAMIN INJ,31
MUPIROCIN OIN [2%],114
NALOXONE INJ (0.4 MG/ML),52
NEO/ BAC/ POLY OIN[0.5OZ],6
NEO/ BAC/ POLY OIN [PKT],3
NEO/ BAC/ POLY/ DEX OIN [,40
NEO/ POLY/ HC DRP [ear],127
NEOSTIGMINE INJ [1 MG/ML],58
NICOTINE PAT [21 MG/24HR],6.25
NIFEDIPINE ER TAB [30 MG],3
NIFEDIPINE ER TAB [90 MG],9.5
NITROFURANTOIN CAP [100 M,8.75
NITROGLYCERIN 2% OIN [PKT,8.75
NITROGLYCERIN PAT [37.3MG,3
NITROGLYCERIN PAT 0.4 MG/HR,3
NITROGLYCERIN TAB [0.4 MG,5
NOREPINEPHRINE INJ [1 MG/,35
"NYSTATIN PWD [100,000 UNT",31
"NYSTATIN CRM [100,000 UNT",39.25
"NYSTATIN SUS [100,000 UNT",4.5
OLANZAPINE TAB [5 MG],3
OLMESARTAN TAB [20 MG],3
ONDANSETRON TAB [8 MG],3
ONDANSETRON INJ [2 MG/ML],3
OSELTAMIVIR CAP [75 MG],41
OXCARBAZEPINE TAB [300MG],3.75
OXYBUTYNIN  TAB [5 MG],3
OXYCODONE TAB [20 MG],25.75
OXYMETAZOLINE 0.05% SPR,8.5
OXYTOCIN INJ [10 UNT/ML],6.5
"INJECTION, PANTOPRAZOLE SODIUM, PER VIAL",15
PANTOPRAZOLE TAB [40 MG],3
PAROXETINE CRTAB [25 MG],11.25
PAROXETINE TAB [20 MG],3
PEGS ELECTROLYTE SOL,36
PENICILLIN G BENZ INJ [1.,266
PENICILLIN G BENZ INJ [60,198
PENICILLIN V K TAB [250 M,3.25
PHENAZOPYRIDINE TAB [100,3
PHENOBARBITAL TAB [30 MG],3
PHENOL SPR BTL,16.75
PHENOL LOZ,3
PHENTOLAMINE INJ [5 MG],204
PHNYL/ MO/ SHLVO/ PET OIN,3
PHENYLEPHRINE 0.5% SPR [N,27.5
PHENYTOIN CAP [100 MG],3
PHENYTOIN SUS [125MG/5ML],3
PHYTONADIONE INJ [10 MG/M,156
PIOGLITAZONE TAB [15 MG],3
POLYETHYLENE GLYC [17GM],3
POTASSIUM CL INJ [2 MEQ/M,3.5
POTASSIUM CL LIQ [20 MEQ/,16.75
POTASSIUM CL TAB [10 MEQ],3
POTASSIUM CL TAB [20 MEQ],3
PRAMIPEXOLE TAB [0.25 MG],3
PREDNISOLONE 1% DRP [EYE],149
PREDNISOLONE [15 MG/5ML] ELIXIR,3
PREDNISONE TAB [10 MG],3
PREGABALIN CAP [50 MG],33
PREGABALIN CAP [75 MG],33
PROCAINAMIDE INJ [100 MG/,114
PROCHLORPERAZINE TAB [5 M,3
PROMETHAZINE INJ [25 MG/M,4.5
PROMETHAZINE TAB [25 MG],4.5
PROPOFOL INJ [10 MG/ML],25.5
PROPOXYPHEN/ ACET TAB [10,3
PROPRANOLOL TAB [10 MG],3
PROTAMINE SULF INJ [250MG,125
PSEUDOEPHEDRINE TAB [30 M,3
QUINAPRIL TAB [10 MG],3
RABIES VACCINE WYVAC 1 IM,173.25
RAMIPRIL CAP [5 MG],3
RANITIDINE TAB [150 MG],3
RISPERIDONE TAB [1 MG],3
ROCURONIUM INJ [10 MG/ML],26.25
ROPINIROLE TAB [0.25 MG],3
ROSIGLIT/ METFORM TAB [2/,10
ROSIGLITAZONE TAB [4 MG],17
RT- ACETYLCYSTEINE INJ 10,31.25
RT  ALBUTEROL NEB [2.5MG/,3
RT- ALBUTEROL/ IPRATROPIU,3
RT IPRATROPIUM NEB 0.02%,3
RT- LEVALBUTEROL NEB [1.2,5.5
RT- RACEPINEPHRINE NEB [2,6.5
RT- SOD CHLORIDE 0.9% NEB,3
SCOPOLAMINE PAT [1.5 MG],78.75
SERTRALINE TAB [50 MG],3
SILVER NITRATE [STK],3
SILVER SULFADIAZINE 1% CR,36
SILVER SULFADIAZINE 1% CR,145
SIMETHICONE TAB [80 MG],3
SITAGLIPTIN TAB [100 MG],55.5
SOD BICARB INJ SYR [10 ME,42.75
SOD BICARB INJ SYR [50 ME,36.25
SOD CHLOR 0.65% SPR,7
FLUSH SOD CL SYR 10ML [ 0,3
SOD CHLOR 0.9% INJ [30ML],3.75
SOD PHOS MB/ SOD PHOS ENE,4.25
SOD POLY SULF SUS [15 GM/,15.75
SORBITOL LIQ 70% [30ML],5.75
SUCCINYLCHOLINE INJ [20 M,70.5
SUCRALFATE SUS [1 GM/10ML,31.5
SUCRALFATE TAB [1 GM],3
SULFAMETH/ TMP SUS [200-4,6.75
SULFAMETH/ TMP DS TAB [80,3
TAMSULOSIN CAP [0.4 MG],3
TEMAZEPAM CAP [15 MG],3.75
TENECTEPLASE INJ [50 MG],"8,492.00"
TERAZOSIN CAP [5 MG],3
TERBUTALINE INJ [1 MG/ML],5.5
TETRACAINE DRP 0.5% [EYE],79
THEOPHYLLINE TAB [200 MG],3
TIOTROPIUM MDI,34.75
TOBRAMYCIN/ DEX DRP [EYE],131
TOLTERODINE TAB [2 MG],23.5
TORSEMIDE TAB [20 MG],3
TRAMADOL TAB [50 MG],3
TRAZODONE TAB [50 MG],3
TRIAMCINOLONE 0.1% CRM [3,12.5
TRIAMCINOLONE VL 40 MG/M,7.75
TUBERCULIN PPD INJ [5 TU/,29.75
VAC- HEPATITIS B  INJ [20,115
HUMAN PAPILLOMAV (Gardasil),336
"FLUZONE VACC, 3 YRS & >, IM",67.75
PNEUMOCOCCAL POLYVALENT 23 INJ,192.65
VAC- TETANUS DIPH TOX ADU,126
VALSARTAN TAB  [80 MG],3
VANCOMYCIN INJ [1 GM],17.5
VANCOMYCIN INJ [500 MG],10.25
VASOPRESSIN INJ [20 UNT/M,168
VECURONIUM INJ [10 MG],22
VENLAFAXINE XR CAP [75 MG,3
VERAPAMIL INJ [2.5 MG/ML],7
VERAPAMIL ER CAP [120 MG],3
VERAPAMIL TAB ER [180 MG],3
THIAMINE INJ 200MG,30.75
VIT- B-1 TAB [100 MG],3
VIT- B-12 INJ [1000 MCG/M,13.75
VIT- C TAB [500 MG],3
WARFARIN TAB [2 MG],3
WARFARIN TAB [5 MG],3
WARFARIN TAB [2.5 MG],3
WATER BACT INJ [30ML],5
WATER STERILE INJ [20ML],5.25
ZINC OXIDE 40% OIN,6.75
ZINC TAB [50 MG],3
ZIPRASIDONE INJ [20 MG],159
ZOLPIDEM TAB [5 MG],3.25
IRR- STERILE WATER [1000M,5
IRR- STERILE WATER [500ML,5
TRIAMCINOLONE 0.1% PSTE [,156
DIGOXIN IMMUNE FAB INJ [4,952
TRIMETHOPRIM TAB [100 MG],3
CLI TESTOSTERONE CYP 200MG INJ,41.5
