CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Aetna (Plan: All),Payer Negotiated Charge: Aetna Better Health of IL Illinicare (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL MCD Rep (Plan: All),Payer Negotiated Charge: Cigna PPO (Plan: All),Payer Negotiated Charge: Health Alliance Medical Plans (Plan: All),Payer Negotiated Charge: Healthlink Inc. HMO (Plan: All),Payer Negotiated Charge: Healthlink PPO (Plan: All),Payer Negotiated Charge: IlliniCare MCD Rep DOS prior to 120120 (Plan: All),Payer Negotiated Charge: Medicaid Illinois (Plan: All),Payer Negotiated Charge: Medicare A IL J6 (Plan: All),Payer Negotiated Charge: Medicare B IL J6 (Plan: All),Payer Negotiated Charge: Meridian Health Plan of IL (Plan: All),Payer Negotiated Charge: Molina Healthcare of IL MCD Rep (Plan: All),Payer Negotiated Charge: Multiplan Inc. for American Family (Plan: All),Payer Negotiated Charge: United Healthcare (Plan: All)
60101326,,80307,,,,,LCHG DRUG SCREEN SGLCLS A VI,643,643,,,,,,,,,,,,,,,,,,
60101362,,80364,,,,,LCHG OPIATES URINE CONFIRMATION II,196,196,,,,,,,,,,,,,,,,,,
60101363,,80364,,,,,LCHG OPIATES URINE CONFIRMATION III,7,7,,,,,,,,,,,,,,,,,,
60101365,,80361,,,,,LCHG OPIATES BLOOD CONFIRMATION II,196,196,,,,,,,,,,,,,,,,,,
60101366,,80361,,,,,LCHG OPIATES URINE CONFIRMATION IV,117,117,,,,,,,,,,,,,,,,,,
60101367,,80361,,,,,LCHG OPIATES URINE CONFIRMATION V,14,14,,,,,,,,,,,,,,,,,,
60101370,,80353,,,,,LCHG COCAINE BLOOD CONFIRM I,94,94,,,,,,,,,,,,,,,,,,
60101372,,80353,,,,,LCHG COCAINE URINE CONFIRMATION II,51.5,51.5,,,,,,,,,,,,,,,,,,
60101380,,80345,,,,,LCHG BARBITURATE BLOOD CONFIRMATION I,207,207,,,,,,,,,,,,,,,,,,
60101382,,80345,,,,,LCHG BARBITURATE URINE CONFIRMATION II,196,196,,,,,,,,,,,,,,,,,,
60101392,,80347,,,,,LCHG BENZODIAZEPINE URINE CONFIRM II,14,14,,,,,,,,,,,,,,,,,,
60101394,,80346,,,,,LCHG BENZODIAZEPINE URINE CONFIRM IV,298.75,298.75,,,,,,,,,,,,,,,,,,
60101400,,80326,,,,,LCHG AMPHETAMINE BLOOD CONFIRM I,32,32,,,,,,,,,,,,,,,,,,
60101402,,80326,,,,,LCHG AMPHETAMINE URINE CONFIRM II,14,14,,,,,,,,,,,,,,,,,,
60101410,,80358,,,,,LCHG METHADONE URINE CONFIRMATION II,265.5,265.5,,,,,,,,,,,,,,,,,,
60101420,,80367,,,,,LCHG PROPOXYPHENE BLOOD CONFIRM II,94,94,,,,,,,,,,,,,,,,,,
601015,,601015,,,,,CLINDAMYCIN CUSTOM IN 50 ML YES COMP [601015],0,0,,,,,,,,,,,,,,,,,,
60101560,,80324,,,,,LCHG AMPHETAMINES 1-2,117,117,,,,,,,,,,,,,,,,,,
60101660,,80334,,,,,LCHG ANTIDEPRESSANTS SEROTONERGIC 6 OR MORE,14,14,,,,,,,,,,,,,,,,,,
60101700,,80338,,,,,LCHG ANTIDEPRESSANTS NOT SPECIFIED,14,14,,,,,,,,,,,,,,,,,,
60101730,,80341,,,,,LCHG ANTIEPILEPTICS NOT SPECIFIED 7 OR MORE,14,14,,,,,,,,,,,,,,,,,,
60101760,,80344,,,,,LCHG ANTIPSYCHOTICS NOT SPECIFIED 7 OR MORE,14,14,,,,,,,,,,,,,,,,,,
60101771,,80346,,,,,LCHG BENZODIAZEPINES 1-12 I,196,196,,,,,,,,,,,,,,,,,,
60101880,,80370,,,,,LCHG SKELETAL MUSCLE RELAXANTS 3 OR MORE,14,14,,,,,,,,,,,,,,,,,,
60101930,,88341,,,,,LCHG IHC ADTL STN EACH PC,142,142,,,,,,,,,,,,,,,,,,
60102080,,80375,,,,,LCHG GAMMAHYDROXYBUTYRATE BLOOD CONFIRM I,32,32,,,,,,,,,,,,,,,,,,
60102110,,87624,,,,,LCHG HPV HIGH RISK TYPES,191,191,,,,,,,,,,,,,,,,,,
60102202,,80359,,,,,LCHG METHYLENEDIOXYAMPHETAMINES CONFIRM BLOOD,32,32,,,,,,,,,,,,,,,,,,
60102420,,81303,,,,,LCHG MECP2 SEQUENCING KNOWN VARIANT,4020,4020,,,,,,,,,,,,,,,,,,
60102510,,99000,,,,,LCHG SPECIMEN HANDLING,105,105,,,,,,,,,,,,,,,,,,
60103760,,83951,,,,,LCHG DES-GAMMA-CARBOXY PROTHROMBIN,382,382,,,,,,,,,,,,,,,,,,
60104030,,88360,,,,,LCHG MORPHOMETRIC TUMOR IHC MANUAL PC,278,278,,,,,,,,,,,,,,,,,,
60104041,,80307,,,,,LCHG DRUG SCREEN COMPREHENSIVE 80307,380,380,,,,,,,,,,,,,,,,,,
60104042,,80307,,,,,LCHG DRUG SCREEN COMPREHENSIVE 80307 II,14,14,,,,,,,,,,,,,,,,,,
60104070,,80359,,,,,LCHG METHYLENEDIOXYAMPHETAMINES UR COMP,14,14,,,,,,,,,,,,,,,,,,
60104080,,80337,,,,,LCHG ANTIDEPRESSANTS URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104090,,80353,,,,,LCHG COCAINE URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104100,,80354,,,,,LCHG FENTANYLS URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104110,,80358,,,,,LCHG METHADONE URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104120,,80360,,,,,LCHG METHYLPHENIDATE LEVEL URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104140,,80367,,,,,LCHG PROPOXYPHENE URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104150,,80373,,,,,LCHG TRAMADOL URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104160,,83992,,,,,LCHG PHENCYCLIDINE URINE COMP,14,14,,,,,,,,,,,,,,,,,,
60104290,,87150,,,,,LCHG ORG ID BY DNA/RNA AMP PROBE,49,49,,,,,,,,,,,,,,,,,,
60105280,,86602,,,,,LCHG ACTINOMYCES ANTIBODY,181,181,,,,,,,,,,,,,,,,,,
60105321,,80339,,,,,LCHG CLOBAZAM QUANT BLOOD I,352,352,,,,,,,,,,,,,,,,,,
60106460,,81219,,,,,LCHG CALR GENE ANAYLSIS,1238,1238,,,,,,,,,,,,,,,,,,
60106500,,80365,,,,,LCHG OXYCODONE BLOOD CONFIRMATION,32,32,,,,,,,,,,,,,,,,,,
60107980,306,87902,,,,,LCHG HCV RNA 1 NS5A DRUG RESISTANCE,857.5,857.5,,,,,,,,,,,,,,,,,,
60108790,,80348,,,,,LCHG BUPRENORPHINE BLOOD CONFIRM,32,32,,,,,,,,,,,,,,,,,,
60109600,,84410,,,,,LCHG TESTOSTERONE FREE AND WEAKLY BOUND,87.5,87.5,,,,,,,,,,,,,,,,,,
60110490,,83789,,,,,LCHG IODINE BLOOD,94,94,,,,,,,,,,,,,,,,,,
60110620,,80377,,,,,LCHG DRUG NOT SPECIFIED 7 OR MORE URINE,7,7,,,,,,,,,,,,,,,,,,
60111160,,85652,,,,,LCHG SED RATE AUTO,56,56,,,,,,,,,,,,,,,,,,
60114170,,87801,,,,,LCHG INFECTIOUS AGENT AMPLIFIED PROBE,242,242,,,,,,,,,,,,,,,,,,
60114690,,87906,,,,,LCHG HIV-1 GENOTYPE BY NUCLEIC ACID,920,920,,,,,,,,,,,,,,,,,,
60115320,,86008,,,,,LCHG ALLERGEN SPEC IGE QNT OR SEMI QNT EACH,43,43,,,,,,,,,,,,,,,,,,
60115810,,83516,,,,,LCHG IMMUNOASSAY ANALYTE SEMIQUANT,1365,1365,,,,,,,,,,,,,,,,,,
60117360,,88160,,,,,LCHG CYTOPATH OTHR SOURC SCRN INTRP NL,50,50,,,,,,,,,,,,,,,,,,
60118121,,99001,,,,,LCHG SPECIMEN PROCESSING I,58,58,,,,,,,,,,,,,,,,,,
60118122,,99001,,,,,LCHG SPECIMEN PROCESSING II,58,58,,,,,,,,,,,,,,,,,,
60118123,,99001,,,,,LCHG SPECIMEN PROCESSING III,105,105,,,,,,,,,,,,,,,,,,
60121730,,81596,,,,,LCHG INFECTIOUS DISEASE CHRNC HCV 6 ASSAYS,586,586,,,,,,,,,,,,,,,,,,
601228,,601228,,,,,FUROSEMIDE 250 MG IN ALBUMIN 5% 250 ML CEN RX [601228],0,0,,,,,,,,,,,,,,,,,,
601229,,601229,,,,,IV FLUID WITH ADDITIVES NO SYNONYMS CEN RX [601229],0,0,,,,,,,,,,,,,,,,,,
60125940,,85335,,,,,LCHG FACTOR VII INHIBITOR,125,125,,,,,,,,,,,,,,,,,,
60128880,,80307,,,,,LCHG BUPRENORPHINE URINE QUALITATIVE,1026,1026,,,,,,,,,,,,,,,,,,
60130020,305,85335,,,,,LCHG BETHESDA QT FACTOR 8,2675,2675,,,,,,,,,,,,,,,,,,
60130470,,82978,,,,,LCHG GLUTATHIONE TOTAL,468.75,468.75,,,,,,,,,,,,,,,,,,
60130510,,84460,,,,,LCHG ALT BLOOD I,87,87,,,,,,,,,,,,,,,,,,
60131050,,83520,,,,,LCHG LEPTIN AB I,32,32,,,,,,,,,,,,,,,,,,
60131120,,86359,,,,,LCHG T CELL TOTAL COUNT I,383,383,,,,,,,,,,,,,,,,,,
60131130,,86360,,,,,LCHG T CELLS ABS CD4/CD8 RATIO,506.25,506.25,,,,,,,,,,,,,,,,,,
60132050,,80145,,,,,LCHG DRUG ASSAY ADALIMUMAB,836,836,,,,,,,,,,,,,,,,,,
60132060,,80230,,,,,LCHG DRUG ASSAY INFLIXIMAB,317,317,,,,,,,,,,,,,,,,,,
60132070,,80235,,,,,LCHG DRUG ASSAY LACOSAMIDE,306,306,,,,,,,,,,,,,,,,,,
60132080,,80187,,,,,LCHG DRUG ASSAY POSACONAZOLE,898,898,,,,,,,,,,,,,,,,,,
60132460,,88271,,,,,LCHG DNA PROBE FISH MDS,1200,1200,,,,,,,,,,,,,,,,,,
60132470,,88275,,,,,LCHG INTERPHASE HYBRID 100-300 MDS,1700,1700,,,,,,,,,,,,,,,,,,
60133730,,83516,,,,,LCHG HYDROXYLASE 21 AUTOANTIBODY,250,250,,,,,,,,,,,,,,,,,,
60133960,,87491,,,,,LCHG CHLAMYDIA TRACH AMPLIFIED PROBE,129,129,,,,,,,,,,,,,,,,,,
60134290,,80365,,,,,LCHG OXYCODONE/OXYMORPHONE CONFIRM,32,32,,,,,,,,,,,,,,,,,,
60134770,,U0001,,,,,LCHG SARS-COV-2 NAA QUAL,0,0,,,,,,,,,,,,,,,,,,
60134800,,87635,,,,,LCHG SARS-COV-2 (COVID-19),128.5,128.5,,,,,,,,,,,,,,,,,,
60134820,,87635,,,,,LCHG SARS-COV-2 (COVID-19) II,94,94,,,,,,,,,,,,,,,,,,
60136000,,0097U,,,,,LCHG GI PATHOGEN 22 TARGETS,700,700,,,,,,,,,,,,,,,,,,
60136010,,87081,,,,,LCHG CULTURE BLOOD SCREEN,88,88,,,,,,,,,,,,,,,,,,
60136220,,86769,,,,,LCHG SARS-COV-2 (COVID-19) ANTIBODY IGG,125,125,,,,,,,,,,,,,,,,,,
60136221,,86769,,,,,LCHG SARS-COV-2 (COVID-19) ANTIBODY IGG I,125,125,,,,,,,,,,,,,,,,,,
60136230,,U0003,,,,,LCHG SARS-COV-2 PCR QUAL (COVID19),128.5,128.5,,,,,,,,,,,,,,,,,,
60136250,,83520,,,,,LCHG RHEUMATOID ARTHRITIS 14-3-3,300,300,,,,,,,,,,,,,,,,,,
60136260,,80375,,,,,LCHG ATOVAQUONE BLOOD,1305,1305,,,,,,,,,,,,,,,,,,
60136270,,84999,,,,,LCHG PROGESTERONE,344,344,,,,,,,,,,,,,,,,,,
60136280,,83520,,,,,LCHG INSULIN-LIKE GROWTH FACTOR 1,470,470,,,,,,,,,,,,,,,,,,
60136290,,83516,,,,,LCHG ANTICHITOBIOSIDE CARBOHYDRATE AB (ACCA),108,108,,,,,,,,,,,,,,,,,,
60136300,,83516,,,,,LCHG ANTILAMINARIBIOSIDE CARBOHYDRATE AB (ALCA),108,108,,,,,,,,,,,,,,,,,,
60136310,,83516,,,,,LCHG ANTIMANNOBIOSIDE CARBOHYDRATE AB (AMCA),108,108,,,,,,,,,,,,,,,,,,
60136320,,86255,,,,,LCHG ANTISACCAROMYCES CEREVISIAE AB (GASCA),108,108,,,,,,,,,,,,,,,,,,
60136330,,86671,,,,,LCHG ATYP PERINUC ANTINEUT CYTOPLAS AB (PANCA),108,108,,,,,,,,,,,,,,,,,,
60136340,,83789,,,,,LCHG IODINE URINE,32,32,,,,,,,,,,,,,,,,,,
60136350,,81500,,,,,LCHG ONCO (OVARIAN) TWO PROTEINS,1063.75,1063.75,,,,,,,,,,,,,,,,,,
60136360,,83516,,,,,LCHG ANTI-PLA2R IGG,32,32,,,,,,,,,,,,,,,,,,
60136370,,86316,,,,,LCHG SQUAMOUS CELL CARCINOMA AG,1003.25,1003.25,,,,,,,,,,,,,,,,,,
60136610,,80362,,,,,LCHG MEPERIDINE BLOOD CONFIRM,32,32,,,,,,,,,,,,,,,,,,
60136620,,86756,,,,,LCHG RESPIRATORY SYNCTIAL VIRUS AB,243,243,,,,,,,,,,,,,,,,,,
60136880,,86769,,,,,LCHG SARS-COV-2 (COVID-19) ANTIBODY IGA,125,125,,,,,,,,,,,,,,,,,,
60136890,,86769,,,,,LCHG SARS-COV-2 (COVID-19) ANTIBODY IGM,125,125,,,,,,,,,,,,,,,,,,
60136900,,81373,,,,,LCHG HLA I TYPING 1 LOCUS LR,500,500,,,,,,,,,,,,,,,,,,
601374,,601374,,,,,CEFAZOLIN 1000 MG IN 50 ML MBP YES COMP [601374],0,0,,,,,,,,,,,,,,,,,,
601378,,601378,,,,,AZITHROMYCIN 250 MG IN 250 ML YES COMP [601378],0,0,,,,,,,,,,,,,,,,,,
601397,,601397,,,,,VANCOMYCIN 1500 MG IN 500 ML (USE 1G VIAL) YES COMP [601397],0,0,,,,,,,,,,,,,,,,,,
60139760,,U0005,,,,,LCHG COV-19 AMP PRB HI THRUPUT 2D COLLECT,62.5,62.5,,,,,,,,,,,,,,,,,,
601398,,601398,,,,,VANCOMYCIN 2250 MG IN 500 ML (USE 1G VIAL) YES COMP [601398],0,0,,,,,,,,,,,,,,,,,,
60140270,,88374,,,,,LCHG MORPH ANALYSIS ISH QNT/SEMI QNT TC NL,692,692,,,,,,,,,,,,,,,,,,
601453,,601453,,,,,CEFAZOLIN 2000 MG IN 50 ML YES COMP [601453],0,0,,,,,,,,,,,,,,,,,,
601456,,601456,,,,,CEFOXITIN CUSTOM IN 50 ML MBP YES COMP (USING 1 GM VIAL) [601456],0,0,,,,,,,,,,,,,,,,,,
601459,,601459,,,,,CEFTRIAXONE 1000 MG IN 50 ML MBP YES COMP [601459],0,0,,,,,,,,,,,,,,,,,,
601460,,601460,,,,,CEFTRIAXONE 2000 MG IN 50 ML MBP YES COMP [601460],0,0,,,,,,,,,,,,,,,,,,
601482,,601482,,,,,VANCOMYCIN 2500 MG IN 500 ML (USE 1G VIAL) YES COMP [601482],0,0,,,,,,,,,,,,,,,,,,
601483,,601483,,,,,VANCOMYCIN 1750 MG IN 500 ML (USE 1G VIAL) YES COMP [601483],0,0,,,,,,,,,,,,,,,,,,
601502,,601502,,,,,AMINOPHYLLINE CUSTOM IN 50 ML YES COMP BOLUS [601502],0,0,,,,,,,,,,,,,,,,,,
601584,,601584,,,,,AMPICILLIN-SULBACTAM 1.5 G IN 50 ML MBP YES COMP [601584],0,0,,,,,,,,,,,,,,,,,,
601596,,601596,,,,,CEFOXITIN CUSTOM IN 50 ML MBP YES COMP (USING 2 GM VIAL) [601596],0,0,,,,,,,,,,,,,,,,,,
601631,,601631,,,,,VANCOMYCIN 2750 MG IN 500 ML (USE 1G VIAL) YES COMP [601631],0,0,,,,,,,,,,,,,,,,,,
601632,,601632,,,,,MEROPENEM 500 MG IN 50 ML YES COMP (1G VIAL) [601632],0,0,,,,,,,,,,,,,,,,,,
601805,,601805,,,,,METHYLPREDNISOLONE 0 TO 999 MG IN 50 ML YES COMP (1000 MG VIAL) [601805],0,0,,,,,,,,,,,,,,,,,,
601815,,601815,,,,,TOBRAMYCIN CUSTOM IN 100 ML IVPB YES COMP [601815],0,0,,,,,,,,,,,,,,,,,,
601897,,601897,,,,,AMPICILLIN 1000 MG IN 50 ML MBP YES COMP [601897],0,0,,,,,,,,,,,,,,,,,,
602000,,602000,,,,,ANTIBIOTIC IRRIGATION + MEDICATION (NS IR) [602000],0,0,,,,,,,,,,,,,,,,,,
602191,,602191,,,,,CEFTRIAXONE/LIDOCAINE IM 350 MG/ML YES COMP (500 MG) [602191],0,0,,,,,,,,,,,,,,,,,,
602195,,602195,,,,,CEFTRIAXONE/LIDOCAINE IM 350 MG/ML YES COMP (1 G) [602195],0,0,,,,,,,,,,,,,,,,,,
602200,,602200,,,,,CEFTRIAXONE/LIDOCAINE IM 350 MG/ML YES COMP (250 MG) [602200],0,0,,,,,,,,,,,,,,,,,,
602276,,602276,,,,,PAMIDRONATE CUSTOM USING 90 MG/10 ML SOLN CEN RX [602276],0,0,,,,,,,,,,,,,,,,,,
602291,,602291,,,,,NOREPINEPHRINE IN 250 ML INFUSION YES COMP [602291],0,0,,,,,,,,,,,,,,,,,,
602379,,602379,,,,,DAPTOMYCIN 0-1500 MG CUSTOM CEN RX [602379],0,0,,,,,,,,,,,,,,,,,,
602398,,602398,,,,,CEFEPIME 2000 MG IN 50 ML YES COMP (USING 1G VIALS) [602398],0,0,,,,,,,,,,,,,,,,,,
602572,,602572,,,,,VALPROATE CUSTOM IN 50 ML YES COMP [602572],0,0,,,,,,,,,,,,,,,,,,
60258-006-01,,60258-006-01,,,,,POTASSIUM - SODIUM PHOSPHATES 280-160-250 MG PO PACK [70284],6,6,,,,,,,,,,,,,,,,,,
60258-006-15,,60258-006-15,,,,,POTASSIUM - SODIUM PHOSPHATES 280-160-250 MG PO PACK [70284],6,6,,,,,,,,,,,,,,,,,,
602601,,602601,,,,,VANCOMYCIN 2000 MG IN 500 ML (USE 1G VIAL) YES COMP [602601],0,0,,,,,,,,,,,,,,,,,,
602616,,602616,,,,,"IV FLUID WITH MVI, FOLIC ACID, THIAMINE INFUSION YES COMP - SWHC [602616]",0,0,,,,,,,,,,,,,,,,,,
602630,,602630,,,,,METHYLPREDNISOLONE 1000 MG AND > IN 100 ML YES COMP (1000 MG VIAL) [602630],0,0,,,,,,,,,,,,,,,,,,
602659,,602659,,,,,VANCOMYCIN 1250 MG IN 250 ML (USE 1G VIAL) YES COMP [602659],0,0,,,,,,,,,,,,,,,,,,
602838,,602838,,,,,MEROPENEM 1000 MG IN 50 ML MBP YES COMP [602838],0,0,,,,,,,,,,,,,,,,,,
602908,,602908,,,,,CEFTRIAXONE 2 G IN 4.2 ML LIDOCAINE (PF)  1 %  [602908],0,0,,,,,,,,,,,,,,,,,,
602917,,602917,,,,,OXYTOCIN 30 UNITS IN 500 ML 0.9 % SODIUM CHLORIDE INFUSION YES COMP [602917],0,0,,,,,,,,,,,,,,,,,,
602984,,602984,,,,,PIPERACILLIN/TAZOBACTAM 2.25 G IN 50 ML MBP YES COMP [602984],0,0,,,,,,,,,,,,,,,,,,
602985,,602985,,,,,PIPERACILLIN/TAZOBACTAM 3.375 G IN 50 ML MBP YES COMP [602985],0,0,,,,,,,,,,,,,,,,,,
603041,,603041,,,,,CEFEPIME 1000 MG IN 50 ML MBP YES COMP [603041],0,0,,,,,,,,,,,,,,,,,,
603053,,603053,,,,,IRON SUCROSE 100-200 MG IN 100 ML YES COMP [603053],0,0,,,,,,,,,,,,,,,,,,
603054,,603054,,,,,IRON SUCROSE 250-300 MG IN 250 ML YES COMP [603054],0,0,,,,,,,,,,,,,,,,,,
603055,,603055,,,,,IRON SUCROSE 400 MG IN 250 ML YES COMP [603055],0,0,,,,,,,,,,,,,,,,,,
603056,,603056,,,,,IRON SUCROSE 500 MG IN 250 ML YES COMP [603056],0,0,,,,,,,,,,,,,,,,,,
603113,,603113,,,,,CEFUROXIME 1500 MG IN 50 ML MBP YES COMP [603113],0,0,,,,,,,,,,,,,,,,,,
603132,,603132,,,,,"TRANEXAMIC ACID 0-1,000 MG IN 100 ML BOLUS YES COMP [603132]",0,0,,,,,,,,,,,,,,,,,,
603176,,603176,,,,,"TRANEXAMIC ACID 1,001 MG AND ABOVE IN 250 ML BOLUS YES COMP [603176]",0,0,,,,,,,,,,,,,,,,,,
603219,,603219,,,,,VANCOMYCIN 750 MG IN 250 ML (USING 1 G VIAL) YES COMP [603219],0,0,,,,,,,,,,,,,,,,,,
603238,,603238,,,,,LABETALOL 5 MG/ML INFUSION YES COMP (STRAIGHT DRUG) [603238],0,0,,,,,,,,,,,,,,,,,,
603379,,603379,,,,,ACETYLCYSTEINE 30 GM IN 1000 ML YES COMP [603379],0,0,,,,,,,,,,,,,,,,,,
603430,,603430,,,,,VANCOMYCIN 500 MG IN 100 ML NS ENEMA [603430],0,0,,,,,,,,,,,,,,,,,,
6035,636,J1720,,,,,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR [141874],57.3,57.3,,,,,,,,,,,,,,,,,,
603678,,603678,,,,,LEVETIRACETAM CUSTOM IN 250 ML YES COMP [603678],0,0,,,,,,,,,,,,,,,,,,
603803,,603803,,,,,ERTAPENEM 1000 MG IN 50 ML MBP YES COMP (USING 1 G IJ VIAL) [603803],0,0,,,,,,,,,,,,,,,,,,
603885,,603885,,,,,REMDESIVIR (VEKLURY) INFUSION IN 250 ML YES COMP [603885],0,0,,,,,,,,,,,,,,,,,,
603900,,603900,,,,,MIDAZOLAM 50 MG IN 50 ML YES COMP (USING 10 MG/2ML)  [603900],0,0,,,,,,,,,,,,,,,,,,
603934,,603934,,,,,KABIVEN WITH ADDITIVES [603934],0,0,,,,,,,,,,,,,,,,,,
60432-537-16,,60432-537-16,,,,,NYSTATIN 100000 UNIT/ML MT SUSP [5751],376.7,376.7,,,,,,,,,,,,,,,,,,
60432-606-16,,60432-606-16,,,,,PROMETHAZINE-CODEINE 6.25-10 MG/5ML PO SYRP [6627],149.2,149.2,,,,,,,,,,,,,,,,,,
60432-621-16,,60432-621-16,,,,,VALPROATE SODIUM 250 MG/5ML PO SOLN [155154],236.8,236.8,,,,,,,,,,,,,,,,,,
6045,250,,,,,,BUPROPION HCL ER (SR) 100 MG PO TB12 [18385],6.4,6.4,0,34.87,0.37,,31,,,,,,,0,9.79,,0,,,34.87
60505-0080-0,,60505-0080-0,,,,,SOTALOL HCL 80 MG PO TABS [11421],8.4,8.4,,,,,,,,,,,,,,,,,,
60505-0158-1,,60505-0158-1,,,,,BUPROPION HCL 75 MG PO TABS [9322],6,6,,,,,,,,,,,,,,,,,,
60505-0363-1,,60505-0363-1,,,,,OFLOXACIN 0.3 % OT SOLN [22257],501.5,501.5,,,,,,,,,,,,,,,,,,
60505-0593-4,,60505-0593-4,,,,,TRAVOPROST (BAK FREE) 0.004 % OP SOLN [131322],681.3,681.3,,,,,,,,,,,,,,,,,,
60505-0829-1,,60505-0829-1,,,,,FLUTICASONE PROPIONATE 50 MCG/ACT NA SUSP [70536],277.2,277.2,,,,,,,,,,,,,,,,,,
60505-1003-1,,60505-1003-1,,,,,KETOROLAC TROMETHAMINE 0.5 % OP SOLN [19733],347.4,347.4,,,,,,,,,,,,,,,,,,
60505-1321-1,,60505-1321-1,,,,,MIDODRINE HCL 5 MG PO TABS [10610],7.9,7.9,,,,,,,,,,,,,,,,,,
60505-3673-3,,60505-3673-3,,,,,PAROXETINE HCL ER 12.5 MG PO TB24 [32631],18.2,18.2,,,,,,,,,,,,,,,,,,
60505-6142-0,,J0690,,,,,CEFAZOLIN SODIUM 1 GM IJ SOLR [1445],31,31,,,,,,,,,,,,,,,,,,
60505-6142-5,,J0690,,,,,CEFAZOLIN SODIUM 1 GM IJ SOLR [1445],31,31,,,,,,,,,,,,,,,,,,
60505-706-10,,60505-706-10,,,,,NICOTINE 7 MG/24HR TD PT24 [27860],7,7,,,,,,,,,,,,,,,,,,
60505-7062-0,,60505-7062-0,,,,,NICOTINE 14 MG/24HR TD PT24 [27862],7.5,7.5,,,,,,,,,,,,,,,,,,
60505-7081-0,,60505-7081-0,,,,,FENTANYL 25 MCG/HR TD PT72 [27905],69.2,69.2,,,,,,,,,,,,,,,,,,
60505-7081-2,,60505-7081-2,,,,,FENTANYL 25 MCG/HR TD PT72 [27905],69.2,69.2,,,,,,,,,,,,,,,,,,
60505-7082-0,,60505-7082-0,,,,,FENTANYL 50 MCG/HR TD PT72 [27906],126.4,126.4,,,,,,,,,,,,,,,,,,
60505-7082-2,,60505-7082-2,,,,,FENTANYL 50 MCG/HR TD PT72 [27906],126.4,126.4,,,,,,,,,,,,,,,,,,
605103,,605103,,,,,PANTOPRAZOLE 80 MG IN 100 ML YES COMP INFUSION [605103],0,0,,,,,,,,,,,,,,,,,,
606199,,606199,,,,,METHYLPREDNISOLONE 0 TO 250 MG IN 50 ML YES COMP (125 MG VIAL) [606199],0,0,,,,,,,,,,,,,,,,,,
60687-122-01,,J7512,,,,,PREDNISONE 5 MG PO TABS [6497],6,6,,,,,,,,,,,,,,,,,,
60687-122-11,,J7512,,,,,PREDNISONE 5 MG PO TABS [6497],6,6,,,,,,,,,,,,,,,,,,
60687-152-01,,60687-152-01,,,,,CEPHALEXIN 250 MG PO CAPS [9499],6,6,,,,,,,,,,,,,,,,,,
60687-195-01,,60687-195-01,,,,,DILTIAZEM HCL ER COATED BEADS 120 MG PO CP24 [29270],6,6,,,,,,,,,,,,,,,,,,
60687-195-11,,60687-195-11,,,,,DILTIAZEM HCL ER COATED BEADS 120 MG PO CP24 [29270],6,6,,,,,,,,,,,,,,,,,,
60687-206-01,,60687-206-01,,,,,DILTIAZEM HCL ER COATED BEADS 180 MG PO CP24 [29272],6,6,,,,,,,,,,,,,,,,,,
60687-206-11,,60687-206-11,,,,,DILTIAZEM HCL ER COATED BEADS 180 MG PO CP24 [29272],6,6,,,,,,,,,,,,,,,,,,
60687-224-01,,60687-224-01,,,,,GEMFIBROZIL 600 MG PO TABS [3378],7.6,7.6,,,,,,,,,,,,,,,,,,
60687-224-11,,60687-224-11,,,,,GEMFIBROZIL 600 MG PO TABS [3378],7.6,7.6,,,,,,,,,,,,,,,,,,
60687-242-01,,60687-242-01,,,,,SERTRALINE HCL 50 MG PO TABS [11351],6,6,,,,,,,,,,,,,,,,,,
60687-242-11,,60687-242-11,,,,,SERTRALINE HCL 50 MG PO TABS [11351],6,6,,,,,,,,,,,,,,,,,,
60687-293-01,,60687-293-01,,,,,NORTRIPTYLINE HCL 25 MG PO CAPS [5675],6,6,,,,,,,,,,,,,,,,,,
60687-293-11,,60687-293-11,,,,,NORTRIPTYLINE HCL 25 MG PO CAPS [5675],6,6,,,,,,,,,,,,,,,,,,
60687-295-01,,60687-295-01,,,,,PROPRANOLOL HCL 40 MG PO TABS [6658],6,6,,,,,,,,,,,,,,,,,,
60687-295-11,,60687-295-11,,,,,PROPRANOLOL HCL 40 MG PO TABS [6658],6,6,,,,,,,,,,,,,,,,,,
60687-357-01,,60687-357-01,,,,,METHIMAZOLE 5 MG PO TABS [10553],6,6,,,,,,,,,,,,,,,,,,
60687-357-11,,60687-357-11,,,,,METHIMAZOLE 5 MG PO TABS [10553],6,6,,,,,,,,,,,,,,,,,,
